Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,6,9,6,Some Random Commen with Id 0
1,0,6,35,7,Some Random Commen with Id 1
2,0,6,106,9,Some Random Commen with Id 2
3,0,6,51,8,Some Random Commen with Id 3
4,0,6,161,9,Some Random Commen with Id 4
5,0,6,164,7,Some Random Commen with Id 5
6,0,6,31,6,Some Random Commen with Id 6
7,0,6,118,5,Some Random Commen with Id 7
8,0,6,137,8,Some Random Commen with Id 8
9,2,0,127,5,Some Random Commen with Id 9
10,2,0,41,3,Some Random Commen with Id 10
11,3,2,15,8,Some Random Commen with Id 11
12,3,2,140,7,Some Random Commen with Id 12
13,3,2,98,6,Some Random Commen with Id 13
14,3,2,53,1,Some Random Commen with Id 14
15,3,2,60,7,Some Random Commen with Id 15
16,3,2,110,6,Some Random Commen with Id 16
17,4,4,101,8,Some Random Commen with Id 17
18,4,4,170,4,Some Random Commen with Id 18
19,4,4,104,0,Some Random Commen with Id 19
20,4,4,14,7,Some Random Commen with Id 20
21,4,4,199,4,Some Random Commen with Id 21
22,4,4,181,4,Some Random Commen with Id 22
23,5,0,173,6,Some Random Commen with Id 23
24,5,0,64,4,Some Random Commen with Id 24
25,5,0,160,3,Some Random Commen with Id 25
26,5,0,79,1,Some Random Commen with Id 26
27,5,0,172,6,Some Random Commen with Id 27
28,5,0,192,2,Some Random Commen with Id 28
29,5,0,3,5,Some Random Commen with Id 29
30,5,0,156,8,Some Random Commen with Id 30
31,5,0,152,4,Some Random Commen with Id 31
32,6,4,90,2,Some Random Commen with Id 32
33,6,4,6,6,Some Random Commen with Id 33
34,6,4,174,5,Some Random Commen with Id 34
35,6,4,52,5,Some Random Commen with Id 35
36,6,4,100,9,Some Random Commen with Id 36
37,6,4,66,3,Some Random Commen with Id 37
38,6,4,180,0,Some Random Commen with Id 38
39,7,8,121,1,Some Random Commen with Id 39
40,7,8,32,1,Some Random Commen with Id 40
41,8,9,193,6,Some Random Commen with Id 41
42,8,9,131,5,Some Random Commen with Id 42
43,8,9,184,0,Some Random Commen with Id 43
44,8,9,143,8,Some Random Commen with Id 44
45,8,9,106,5,Some Random Commen with Id 45
46,8,9,157,3,Some Random Commen with Id 46
47,8,9,27,5,Some Random Commen with Id 47
48,8,9,84,9,Some Random Commen with Id 48
49,8,9,18,0,Some Random Commen with Id 49
50,9,6,167,8,Some Random Commen with Id 50
51,9,6,195,8,Some Random Commen with Id 51
52,9,6,181,3,Some Random Commen with Id 52
53,9,6,199,4,Some Random Commen with Id 53
54,9,6,27,4,Some Random Commen with Id 54
55,9,6,122,4,Some Random Commen with Id 55
56,9,6,164,6,Some Random Commen with Id 56
57,9,6,144,1,Some Random Commen with Id 57
58,9,6,94,0,Some Random Commen with Id 58
59,10,1,40,3,Some Random Commen with Id 59
60,10,1,158,8,Some Random Commen with Id 60
61,11,4,110,0,Some Random Commen with Id 61
62,12,0,144,5,Some Random Commen with Id 62
63,12,0,160,7,Some Random Commen with Id 63
64,13,3,14,0,Some Random Commen with Id 64
65,13,3,53,3,Some Random Commen with Id 65
66,13,3,35,6,Some Random Commen with Id 66
67,13,3,119,6,Some Random Commen with Id 67
68,13,3,125,9,Some Random Commen with Id 68
69,14,9,187,9,Some Random Commen with Id 69
70,14,9,61,2,Some Random Commen with Id 70
71,14,9,164,4,Some Random Commen with Id 71
72,14,9,194,4,Some Random Commen with Id 72
73,15,4,182,8,Some Random Commen with Id 73
74,15,4,69,1,Some Random Commen with Id 74
75,15,4,21,4,Some Random Commen with Id 75
76,15,4,58,2,Some Random Commen with Id 76
77,15,4,80,4,Some Random Commen with Id 77
78,15,4,31,3,Some Random Commen with Id 78
79,16,7,132,8,Some Random Commen with Id 79
80,16,7,172,1,Some Random Commen with Id 80
81,16,7,128,6,Some Random Commen with Id 81
82,16,7,99,2,Some Random Commen with Id 82
83,16,7,170,3,Some Random Commen with Id 83
84,17,3,99,1,Some Random Commen with Id 84
85,18,8,88,0,Some Random Commen with Id 85
86,18,8,121,9,Some Random Commen with Id 86
87,18,8,147,0,Some Random Commen with Id 87
88,18,8,137,0,Some Random Commen with Id 88
89,18,8,184,2,Some Random Commen with Id 89
90,19,2,149,5,Some Random Commen with Id 90
91,19,2,41,8,Some Random Commen with Id 91
92,19,2,19,0,Some Random Commen with Id 92
93,20,1,82,6,Some Random Commen with Id 93
94,20,1,64,9,Some Random Commen with Id 94
95,20,1,1,5,Some Random Commen with Id 95
96,21,7,82,9,Some Random Commen with Id 96
97,21,7,144,1,Some Random Commen with Id 97
98,21,7,115,8,Some Random Commen with Id 98
99,22,6,169,2,Some Random Commen with Id 99
100,22,6,8,2,Some Random Commen with Id 100
101,22,6,183,5,Some Random Commen with Id 101
102,22,6,68,8,Some Random Commen with Id 102
103,22,6,61,3,Some Random Commen with Id 103
104,23,0,4,9,Some Random Commen with Id 104
105,23,0,168,8,Some Random Commen with Id 105
106,23,0,197,9,Some Random Commen with Id 106
107,23,0,114,1,Some Random Commen with Id 107
108,23,0,65,6,Some Random Commen with Id 108
109,24,4,83,9,Some Random Commen with Id 109
110,24,4,162,7,Some Random Commen with Id 110
111,25,0,127,2,Some Random Commen with Id 111
112,25,0,27,2,Some Random Commen with Id 112
113,25,0,119,9,Some Random Commen with Id 113
114,25,0,3,0,Some Random Commen with Id 114
115,26,8,97,8,Some Random Commen with Id 115
116,27,1,146,8,Some Random Commen with Id 116
117,27,1,63,7,Some Random Commen with Id 117
118,27,1,94,8,Some Random Commen with Id 118
119,27,1,86,3,Some Random Commen with Id 119
120,27,1,72,6,Some Random Commen with Id 120
121,27,1,151,1,Some Random Commen with Id 121
122,27,1,20,5,Some Random Commen with Id 122
123,29,0,58,9,Some Random Commen with Id 123
124,29,0,5,9,Some Random Commen with Id 124
125,29,0,160,0,Some Random Commen with Id 125
126,29,0,159,6,Some Random Commen with Id 126
127,29,0,199,7,Some Random Commen with Id 127
128,29,0,7,5,Some Random Commen with Id 128
129,30,6,106,7,Some Random Commen with Id 129
130,30,6,7,8,Some Random Commen with Id 130
131,30,6,26,6,Some Random Commen with Id 131
132,30,6,95,0,Some Random Commen with Id 132
133,30,6,58,3,Some Random Commen with Id 133
134,30,6,190,2,Some Random Commen with Id 134
135,30,6,111,3,Some Random Commen with Id 135
136,31,6,122,4,Some Random Commen with Id 136
137,31,6,176,6,Some Random Commen with Id 137
138,31,6,74,1,Some Random Commen with Id 138
139,31,6,98,7,Some Random Commen with Id 139
140,31,6,175,7,Some Random Commen with Id 140
141,31,6,44,0,Some Random Commen with Id 141
142,31,6,185,8,Some Random Commen with Id 142
143,31,6,86,5,Some Random Commen with Id 143
144,31,6,167,8,Some Random Commen with Id 144
145,32,6,11,0,Some Random Commen with Id 145
146,33,1,106,2,Some Random Commen with Id 146
147,33,1,195,9,Some Random Commen with Id 147
148,33,1,82,1,Some Random Commen with Id 148
149,34,5,4,4,Some Random Commen with Id 149
150,34,5,109,5,Some Random Commen with Id 150
151,34,5,72,5,Some Random Commen with Id 151
152,34,5,38,1,Some Random Commen with Id 152
153,34,5,72,4,Some Random Commen with Id 153
154,34,5,154,4,Some Random Commen with Id 154
155,34,5,21,0,Some Random Commen with Id 155
